element, amu, tufts
H, 1.0080, 1.00797
He, 4.0026, 4.0026
Li, 6.938, 6.939
Be, 9.0122, 9.0122
B, 10.806, 10.811
C, 12.0096, 12.01115
N, 14.0064, 14.0067
O, 15.9990, 15.9994
F, 18.9984, 18.9984
Ne, 20.1798, 20.183
Na, 22.9898, 22.9898
Mg, 24.304, 24.312
Al, 26.982, 26.9815
Si, 28.084, 28.086
P, 30.974, 30.9738
S, 32.059, 32.064
Cl, 35.446, 35.453
Ar, 39.792, 39.948
K, 39.098, 39.102
Ca, 40.078, 40.08
Sc, 44.956, 44.956
Ti, 47.867, 47.90
V, 50.942, 50.942
Cr, 51.996, 51.996
Mn, 54.938, 54.9380
Fe, 55.845, 55.847
Co, 58.933, 58.9332
Ni, 58.693, 58.71
Cu, 63.546, 63.546
Zn, 65.382, 65.37
Ga, 69.723, 69.72
Ge, 72.631, 72.59
As, 74.922, 74.9216
Se, 78.972, 78.96
Br, 79.901, 79.904
Kr, 83.798, 83.80
Rb, 85.468, 85.47
Sr, 87.621, 87.62
Y, 88.906, 88.905
Zr, 91.224, 91.22
Nb, 92.906, 92.906
Mo, 95.951, 95.94
Tc, 96.906, 99
Ru, 101.072, 101.07
Rh, 102.905, 102.905
Pd, 106.421, 106.4
Ag, 107.868, 107.868
Cd, 112.414, 112.40
In, 114.818, 114.82
Sn, 118.711, 118.69
Sb, 121.760, 121.75
Te, 127.603, 127.60
I, 126.904, 126.9044
Xe, 131.294, 131.30
Cs, 132.905, 132.905
Ba, 137.328, 137.34
La, 138.905, 138.91
Ce, 140.116, 140.12
Pr, 140.908, 140.907
Nd, 144.242, 144.24
Pm, 144.913, 145
Sm, 150.362, 150.35
Eu, 151.964, 151.96
Gd, 157.253, 157.25
Tb, 158.925, 158.924
Dy, 162.500, 162.50
Ho, 164.930, 164.930
Er, 167.259, 167.26
Tm, 168.934, 168.934
Yb, 173.045, 173.04
Lu, 174.967, 174.97
Hf, 178.487, 179.49
Ta, 180.948, 180.948
W, 183.841, 183.85
Re, 186.207, 186.2
Os, 190.233, 190.2
Ir, 192.217, 192.2
Pt, 195.085, 195.09
Au, 196.967, 196.967
Hg, 200.592, 200.59
Tl, 204.382, 204.37
Pb, 206.140, 207.19
Bi, 208.980, 208.980
Po, 208.982, 210
At, 209.987, 210
Rn, 222.018, 222
Fr, 223.020, 223
Ra, 226.025, 226
Ac, 227.028, 227
Th, 232.0377, 232.038
Pa, 231.036, 231
U, 238.028, 238.03
Np, 237.048, 237
Pu, 244.064, 242
Am, 243.061, 243
Cm, 247.070, 247
Bk, 247.070, 247
Cf, 251.080, 251
Es, 252.083, 254
Fm, 257.095, 257
Md, 258.098, 258
No, 259.101, 259
Lr, 266.120, 260
Rf, 267.122, 261
Db, 268.126, 262
Sg, 269.128, 266
Bh, 270.133, 264
Hs, 269.134, 269
Mt, 277.154, 268
Ds, 282.166, 269
Rg, 282.169, 272
Cn, 286.179, 277
Nh, 286.182, 286.182
Fl, 290.192, 285
Mc, 290.196, 290.196
Lv, 293.205, 289
Ts, 294.211, 294.211
Og, 295.216, 293
error, error, error
